gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
412103728	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1920-07-31T00:00:00Z	31	7	1920	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225311-0				CC_BY_4_0		Page, M.M.			2018-12-21T12:05:44.004Z		
412103727	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1896-07-22T00:00:00Z	22	7	1896	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225310-0				CC_BY_4_0		Schlechter, F.R.R.			2018-12-21T12:05:44.294Z		
412103726	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862													6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225309-0				CC_BY_4_0		Marloth, H.W.R.			2018-12-21T12:05:43.995Z		
412103725	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1898-11-30T00:00:00Z	30	11	1898	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225304-0				CC_BY_4_0		De Jongh, M.E.			2018-12-21T12:05:43.983Z		
412103724	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1885-10-31T00:00:00Z	31	10	1885	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225302-0				CC_BY_4_0		MacOwan, P.			2018-12-21T12:05:44.273Z		
412103723	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1907-08-31T00:00:00Z	31	8	1907	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225299-0				CC_BY_4_0		Bolus, H.			2018-12-21T12:05:43.977Z		
412103722	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1925-09-07T00:00:00Z	7	9	1925	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225298-0				CC_BY_4_0		Young, R.G.N.			2018-12-21T12:05:44.054Z		
412103721	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1962-08-31T00:00:00Z	31	8	1962	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225297-0				CC_BY_4_0		Liebenberg, L.C.C.			2018-12-21T12:05:44.034Z		
412103720	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1963-09-30T00:00:00Z	30	9	1963	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225296-0				CC_BY_4_0		Van der Merwe, P.			2018-12-21T12:05:44.022Z		
412103719	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1962-09-28T00:00:00Z	28	9	1962	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225295-0				CC_BY_4_0		Taylor, H.C.			2018-12-21T12:05:44.011Z		
